,Count
merge after thaw,1
digitizing,1
postgis data provider,1
profile tool,1
changelogharvested,1
@ startup / config / util,1
@ builtin,1
possible close,1
formspec,1
@ server / client / env.,1
rebase needed,1
adoption needed,1
@ content / pkgmgr,1
@ client rendering,1
@ devtest game,1
@ client script api,1
trivial,1
textures,1
shaders,1
sounds,1
controversial,1
@ network,1
testing needed,1
non-trivial,1
user feedback needed,1
protocol bump,1
neglect closure,1
can't add,1
@ documentation,1
request / suggestion,1
relations,1
oracle data provider,1
vector tiles,1
print layouts,1
m:sfml-window,1
m:sfml-graphics,1
forms,1
area: documentation,1
parity-with-android,1
user feedback,1
bounty?,1
o-occasional,1
a-composer,1
z-visibility-2,1
z-d1,1
auto-test-required,1
t-defect,1
x-needs-info,1
area: bluetooth,1
area: bluetooth host,1
area: c++,1
area: c library,1
area: profiling,1
area: samples,1
area: trusted execution,1
area: kernel,1
area: drivers,1
platform: microchip sam,1
area: can,1
hardware support,1
area: arm,1
area: tests,1
area: api,1
area: test framework,1
area: qemu,1
area: memory protection,1
area: build system,1
area: kconfig,1
a-e2ee-key-backup,1
a-e2ee-sas-verification,1
a-scalar,1
a-room-upgrades,1
do_not_merge,1
webp,1
nsurlcache,1
carthage,1
t-enhancement,1
x-needs-design,1
z-papercuts,1
a-timeline,1
z-visibility-1,1
z-impact-1,1
a-room-list,1
a-e2ee,1
a-e2ee-cross-signing,1
integration-manager-sprint,1
a-integrations,1
privacy-sprint,1
a-identity-server,1
a-lazy-loading,1
spec compliance,1
s-major,1
x-blocked,1
a-user-settings,1
a-registration,1
a-soft-logout,1
a-aggregations,1
a-redaction,1
a-message-editing,1
parity-with-web,1
feature:permalink,1
area: usb,1
area: devicetree,1
m:sfml-system,1
merge with rebase,1
area: ipc,1
area: x86,1
area: nios2,1
waiting reviewers,1
think it's ready to land,1
to trash?,1
virtual tables,1
user experience,1
blueprint,1
bpf,1
macos catalina,1
macos big sur,1
carving,1
hardening,1
process auditing,1
ext,1
cla signed,1
merged,1
memory leak,1
debt,1
officehours,1
query-scheduler,1
packs,1
zeek,1
fim,1
flaky test,1
efficiency,1
r-package,1
m:config,1
m:doc,1
area: miscellaneous,1
area: xtensa,1
area: debugging,1
area: file system,1
area: boards,1
area: userspace,1
platform: nxp,1
area: arc,1
area: smp,1
area: toolchains,1
area: portability,1
area: west,1
area: bluetooth mesh,1
area: bluetooth controller,1
area: networking,1
area: sensors,1
area: power management,1
area: misra-c,1
area: logging,1
area: native port,1
area: pwm,1
platform: stm32,1
area: coding guidelines,1
area: timer,1
area: architectures,1
platform: nrf,1
area: shell,1
area: configuration system,1
area: crypto / rng,1
area: flash,1
area: security,1
area: device management,1
area: networking clients,1
temporal,1
squash!,1
watchos,1
chlorine v3007.0,1
please test,1
impact medium,1
reach low,1
difficulty hard,1
difficulty medium,1
fasttext,1
difficulty easy,1
need info,1
needs-triage,1
boto,1
state-module,1
vault,1
pending-discussion,1
execution-module,1
lgpo,1
tiamat,1
salt-api,1
salt-ssh,1
renderers,1
fixed-pls-verify,1
opensuse,1
grains,1
k8s-modules,1
salt-cloud,1
pillar,1
proxy-minion,1
beacon,1
runners,1
sulfur v3006.0,1
expected-behavior,1
team,1
experiment,1
back-burner,1
wysiwyg,1
full text search,1
unit of work,1
unsupported database,1
dialects,1
mysql,1
datatypes,1
inheritance,1
sybase,1
result fetching api improvements,1
sql server,1
connection pool,1
reopen if interested,1
big job,1
functions,1
naming conventions,1
quagmire,1
time consuming / tedious,1
association proxy,1
cextensions,1
firebird,1
py3k,1
external db2 issues,1
py,1
devx,1
needs upstream fix,1
plot,1
r,1
ide,1
interview,1
vmware,1
severity-high,1
sqlalchemy.ext,1
zreleased - fluorine,1
v3000.3,1
v2019.2.5,1
slack,1
zrelease-sodium,1
severity-critical,1
zreleased - neon,1
outputters,1
docstring-update,1
module doc standards,1
v2019.2.1,1
zzzwarroom,1
pending-changes,1
doc-ex-missing,1
zreleased - 2018.3.3,1
spm,1
multi-master,1
zreleased - 2018.3.1,1
zreleased - 2017.7.6,1
transport,1
salt-check,1
zreleased - 2018.3.0,1
riot,1
salt-syndic,1
salt-enhance,1
sudo_user,1
